Date,Equity
2025-06-19,101354.43408203125
2025-06-20,101399.6337890625
2025-06-23,102996.18444824219
2025-06-24,104378.63366699219
2025-06-25,104409.78515625
2025-06-26,105134.59753417969
2025-06-27,106077.79870605469
2025-06-30,106920.8974609375
2025-07-01,107472.89758300781
2025-07-02,106699.59924316406
2025-07-03,107032.84765625
2025-07-04,106123.44885253906
2025-07-07,105632.69805908203
2025-07-08,104379.19848632812
2025-07-09,104678.69787597656
2025-07-10,104591.24877929688
2025-07-11,103272.64868164062
2025-07-14,103189.29821777344
2025-07-15,104839.64935302734
2025-07-16,106158.94799804688
2025-07-17,105298.54821777344
2025-07-18,104479.4974975586
2025-07-21,104521.59887695312
2025-07-22,105209.39794921875
2025-07-23,104906.2485961914
2025-07-24,105064.49822998047
2025-07-25,104018.248046875
2025-07-28,103294.59729003906
2025-07-29,103320.09765625
2025-07-30,104178.4486694336
2025-07-31,103476.39807128906
2025-08-01,103849.25018310547
2025-08-04,103828.75006103516
2025-08-05,104429.44860839844
2025-08-06,105211.7978515625
2025-08-07,104905.64831542969
2025-08-08,104835.54870605469
2025-08-11,104754.99865722656
2025-08-12,104975.49792480469
2025-08-13,105729.69909667969
2025-08-14,105421.6976928711
2025-08-18,106085.04864501953
2025-08-19,106644.54876708984
2025-08-20,107567.38354492188
2025-08-21,108856.18237304688
2025-08-22,108901.78198242188
2025-08-25,108486.08337402344
2025-08-26,107315.68249511719
2025-08-28,106367.73217773438
2025-08-29,105873.83276367188
2025-09-01,106066.4331665039
2025-09-02,105985.4829711914
2025-09-03,106482.58264160156
2025-09-04,107300.93255615234
2025-09-05,107492.78259277344
2025-09-08,108058.88220214844
2025-09-09,108103.2822265625
2025-09-10,107991.5326538086
2025-09-11,107720.03216552734
2025-09-12,107499.28247070312
2025-09-15,107510.88256835938
2025-09-16,108013.83288574219
2025-09-17,108360.68347167969
2025-09-18,108222.38293457031
2025-09-19,107485.53283691406
2025-09-22,107644.28332519531
2025-09-23,107409.4321899414
2025-09-24,107134.93322753906
2025-09-25,106716.98278808594
2025-09-26,106148.33312988281
2025-09-29,106454.99328613281
2025-09-30,106335.19274902344
2025-10-01,106638.3423461914
2025-10-03,106867.59210205078
2025-10-06,107316.54229736328
2025-10-07,108119.69317626953
2025-10-08,107754.34265136719
2025-10-09,107683.14263916016
2025-10-10,107764.09240722656
2025-10-13,107842.7426147461
2025-10-14,107918.74267578125
2025-10-15,108263.5425415039
2025-10-16,108930.8423461914
2025-10-17,109099.89263916016
2025-10-20,109955.74243164062
2025-10-21,110855.44274902344
2025-10-23,110215.04327392578
2025-10-24,110214.04327392578
2025-10-27,110307.19323730469
2025-10-28,110082.59295654297
2025-10-29,109320.92227172852
2025-10-30,109341.97235107422
2025-10-31,109535.072265625
2025-11-03,109638.41262817383
2025-11-04,109476.57250976562
2025-11-06,108884.45315551758
2025-11-07,108295.11337280273
2025-11-10,109771.42303466797
2025-11-11,109453.3324584961
2025-11-12,110292.81192016602
2025-11-13,110351.92233276367
2025-11-14,109534.47232055664
2025-11-17,110015.69174194336
2025-11-18,109795.36163330078
2025-11-19,110103.95196533203
2025-11-20,110700.6533203125
2025-11-21,109344.15240478516
2025-11-24,108851.42227172852
2025-11-25,109246.39349365234
2025-11-26,110127.0735168457
2025-11-27,111314.79360961914
2025-11-28,111864.66201782227
2025-12-01,112275.89297485352
2025-12-02,112441.47937011719
2025-12-03,110757.98114013672
2025-12-04,110853.22943115234
2025-12-05,110911.98083496094
2025-12-08,110365.1312866211
2025-12-09,109265.4303894043
2025-12-10,110495.73083496094
2025-12-11,110476.03057861328
2025-12-12,111621.17999267578
2025-12-15,111945.9291381836
2025-12-16,111400.03002929688
2025-12-17,112093.38024902344
2025-12-18,112107.47918701172
2025-12-19,112915.23065185547
2025-12-22,115022.93103027344
2025-12-23,115196.32928466797
2025-12-24,115199.03210449219
2025-12-26,115007.13153076172
2025-12-29,114404.18072509766
2025-12-30,114434.48175048828
2025-12-31,116040.48207855225
2026-01-01,116960.46114349365
2026-01-02,118149.72087097168
2026-01-05,118977.4921875
2026-01-06,118232.5825881958
2026-01-07,118383.63067626953
2026-01-08,116516.18217468262
2026-01-09,115636.04079437256
2026-01-12,115239.73223114014
2026-01-13,116455.63126373291
2026-01-14,116435.56285095215
2026-01-15,118633.93186187744
2026-01-16,117297.41181945801
2026-01-19,118076.82224273682
2026-01-20,116803.49265289307
2026-01-21,115715.69079589844
2026-01-22,116836.89067077637
2026-01-23,116721.1403503418
2026-01-27,117432.49020385742
2026-01-28,118861.93951416016
2026-01-29,120441.44047546387
2026-01-30,118116.48959350586
2026-02-02,114351.53984069824
2026-02-03,117055.53959655762
2026-02-04,117865.28977966309
2026-02-05,116388.84001159668
2026-02-06,116448.09056091309
2026-02-09,118000.04039001465
2026-02-10,118302.69067382812
2026-02-11,118749.26889038086
2026-02-12,119021.26850891113
2026-02-13,117207.21914672852
2026-02-16,117094.8698425293
2026-02-17,117228.76934814453
2026-02-18,118416.76889038086
2026-02-19,117910.96823120117
2026-02-20,117886.71890258789
2026-02-23,118348.57040405273
2026-02-24,118427.96928405762
2026-02-25,120258.92102050781
2026-02-26,121504.76872253418
2026-02-27,121111.56887817383
2026-03-02,117493.65721130371
2026-03-04,115831.75811767578
2026-03-05,117110.90927124023
2026-03-06,117155.15846252441
2026-03-09,116138.4086303711
2026-03-10,116244.50714111328
2026-03-11,116117.6586303711
2026-03-12,115262.35723876953
2026-03-13,114512.90728759766
2026-03-16,114426.10705566406
2026-03-17,114643.60736083984
2026-03-18,114655.95721435547
2026-03-19,113754.30767822266
2026-03-20,113830.30767822266
2026-03-23,113383.74041748047
2026-03-24,113383.74041748047
2026-03-25,113383.74041748047
2026-03-27,113383.74041748047
2026-03-30,113383.74041748047
2026-04-01,113383.74041748047
2026-04-02,113383.74041748047
2026-04-06,113383.74041748047
2026-04-07,113383.74041748047
2026-04-08,113383.74041748047
2026-04-09,113383.74041748047
2026-04-10,112875.54011535645
2026-04-13,112779.29011535645
2026-04-15,113018.7993774414
2026-04-16,113066.8193359375
2026-04-17,113306.90989685059
2026-04-20,113394.75978088379
2026-04-21,113765.56927490234
2026-04-22,114294.77119445801
2026-04-23,114606.56007385254
2026-04-24,113876.83868408203
2026-04-27,115427.92895507812
2026-04-28,116762.66960144043
2026-04-29,116178.07963562012
2026-04-30,114986.89060974121
2026-05-01,117035.58027648926
2026-05-04,116959.14810180664
2026-05-05,117599.00714111328
2026-05-06,118155.1879119873
2026-05-07,119987.36706542969
2026-05-08,120646.43759155273
2026-05-11,119228.24617004395
2026-05-12,117040.15641784668
2026-05-13,116949.16653442383
2026-05-14,120390.37651062012
2026-05-15,120082.76684570312
2026-05-18,118454.65774536133
2026-05-19,119156.44860839844
2026-05-20,118769.01824951172
2026-05-21,120673.54849243164
2026-05-22,120772.82888793945
2026-05-25,121586.06860351562
2026-05-26,122774.48924255371
2026-05-27,124629.59800720215
2026-05-28,106397.04898071289
2026-05-29,123959.67811584473
